"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","SP,DH","117.7","142","9","0","3.34","1.11","44","92","39","14","23","23","5","1"
"Tarik Skubal","DET","SP","193.0","235","14","0","2.72","0.97","58","148","40","19","31","31","7","1"
"Paul Skenes","PIT","SP","185.8","221","13","0","2.82","1.04","58","145","48","15","31","31","7","1"
"Garrett Crochet","BOS","SP","188.1","230","14","0","3.03","1.07","63","152","49","20","31","31","8","1"
"Cristopher Sanchez","PHI","SP","191.1","188","13","0","3.19","1.14","68","171","47","16","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","161.0","175","12","0","3.24","1.10","58","129","48","16","27","27","6","0"
"Hunter Brown","HOU","SP","179.7","194","12","0","3.46","1.17","69","151","59","19","31","31","8","1"
"Chris Sale","ATL","SP","158.9","195","11","0","3.21","1.10","57","132","43","17","27","27","6","0"
"Logan Gilbert","SEA","SP","165.4","185","11","0","3.40","1.06","62","136","39","21","29","29","7","1"
"Bryan Woo","SEA","SP","186.6","189","13","0","3.41","1.06","71","157","40","24","31","31","9","0"
"Logan Webb","SF","SP","196.3","187","14","0","3.28","1.17","72","184","46","15","32","32","9","1"
"Jacob deGrom","TEX","SP","161.5","179","11","0","3.46","1.07","62","133","39","22","28","28","8","0"
"Cole Ragans","KC","SP","155.3","192","11","0","3.37","1.15","58","124","55","17","28","28","7","0"
"Max Fried","NYY","SP","182.5","172","13","0","3.31","1.17","67","159","54","17","30","30","8","1"
"Freddy Peralta","NYM","SP","164.3","182","11","0","3.78","1.19","69","135","61","21","30","30","8","0"
"George Kirby","SEA","SP","169.8","166","12","0","3.58","1.11","68","155","33","20","30","30","8","0"
"Mason Miller","SD","RP","65.5","102","4","33","2.54","0.99","18","40","25","6","64","0","2","0"
"Joe Ryan","MIN","SP","168.6","185","11","0","3.81","1.10","71","145","40","25","29","29","9","0"
"Dylan Cease","TOR","SP","170.8","201","11","0","3.70","1.21","70","142","65","20","31","31","9","0"
"Edwin Diaz","LAD","RP","65.3","90","5","37","3.07","1.07","22","47","23","7","65","0","2","0"
"Jesus Luzardo","PHI","SP","176.8","197","12","0","3.67","1.18","72","153","55","22","31","31","9","0"
"Framber Valdez","DET","SP","191.1","177","13","0","3.47","1.22","74","170","63","16","30","30","9","2"
"Andres Munoz","SEA","RP","63.3","80","4","32","2.93","1.12","21","46","25","5","64","0","3","0"
"Kyle Bradish","BAL","SP","141.1","151","9","0","3.55","1.15","56","119","44","15","26","26","7","0"
"Jhoan Duran","PHI","RP","67.1","78","5","32","2.90","1.12","22","54","20","5","69","0","3","0"
"Hunter Greene","CIN","SP","151.9","182","10","0","3.67","1.10","62","118","49","21","26","26","7","1"
"Cade Smith","CLE","RP","69.5","90","5","32","2.90","1.07","22","53","21","6","70","0","3","0"
"Nick Pivetta","SD","SP","170.0","183","10","0","3.89","1.15","73","144","52","26","29","29","9","0"
"Nolan McLean","NYM","SP","150.1","146","10","0","3.83","1.28","64","133","58","16","26","26","8","0"
"Eury Perez","MIA","SP","137.9","151","8","0","3.92","1.17","60","115","46","19","27","27","8","0"
"Kevin Gausman","TOR","SP","179.2","175","12","0","3.89","1.21","78","164","53","24","30","30","9","1"
"Sonny Gray","BOS","SP","171.1","179","11","0","3.73","1.20","71","159","46","21","30","30","9","0"
"Blake Snell","LAD","SP","131.8","163","10","0","3.47","1.21","51","102","57","14","24","24","6","0"
"Aroldis Chapman","BOS","RP","60.1","84","4","31","3.01","1.16","20","43","27","5","63","0","3","0"
